sep=|
DIPUTACIONES LOCALES
2019/06/03 05:47 (UTC-5)
ACTAS_ESPERADAS|ACTAS_REGISTRADAS|ACTAS_FUERA_CATALOGO|ACTAS_CAPTURADAS|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|PORCENTAJE_ACTAS_CONTABILIZADAS|PORCENTAJE_ACTAS_INCONSISTENCIAS|ACTAS_NO_CONTABILIZADAS|LISTA_NOMINAL_ACTAS_CONTABILIZADAS|TOTAL_VOTOS_C_CS|TOTAL_VOTOS_S_CS|PORCENTAJE_PARTICIPACION_CIUDADANA
2136|2136|0|2136|100.0000|2031|95.0842|23.0337|105|1187254|263005|262598|22.1523

CLAVE_CASILLA|CLAVE_ACTA|ID_ESTADO|ESTADO|ID_DISTRITO|DISTRITO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|TOTAL_BOLETAS_SOBRANTES|TOTAL_PERSONAS_VOTARON|TOTAL_REP_PARTIDO_CI_VOTARON|TOTAL_VOTOS_SACADOS|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CQROO|PESQROO|C_PAN_PRD_PESQROO|C_PAN_PRD|C_PAN_PESQROO|C_PRD_PESQROO|C_PVEM_PT_MORENA|C_PVEM_PT|C_PVEM_MORENA|C_PT_MORENA|CAND_IND_1|CAND_IND_2|CAND_IND_3|NO_REGISTRADOS|NULOS|TOTAL_VOTOS_ASENTADO|TOTAL_VOTOS_CALCULADO|LISTA_NOMINAL|REPRESENTANTES_PP_CI|OBSERVACIONES|CONTABILIZADA|MECANISMOS_TRASLADO|SHA|FECHA_HORA_ACOPIO|FECHA_HORA_CAPTURA|FECHA_HORA_VERIFICACION|ORIGEN|DIGITALIZACION|TIPO_DOCUMENTO
="230096B0100"|230096B010002|23|QUINTANA ROO|1|DISTRITO 1|96|1|B|0|1|2|457|76|5|78|8|7|2|27|3|4|22|3|2|0|SIN DATO|SIN DATO|SIN DATO|SIN DATO|0|0|0|0|-|-|-|SIN DATO|3|78|81|435|5|ALGUN DATO ILEGIBLE O SIN DATO|1|F|a758e0cdc26c30abee1874933d9b12535d58304c8f1274a5767971d9a348882f|2019-06-02 19:08:18|2019-06-02 20:52:06|2019-06-02 20:57:31|CASILLA|MOVIL|ACTA PREP
="230096C0100"|230096C010002|23|QUINTANA ROO|1|DISTRITO 1|96|1|C|0|1|2|393|58|3|61|7|7|1|13|1|0|22|2|3|0|0|0|0|0|0|0|0|0|-|-|-|0|5|61|61|434|3||1|F|0f9a8c508067843baec315ef8a4b90c41f096e36eb042ce1f157b7bf9d03345b|2019-06-02 19:01:43|2019-06-02 20:42:56|2019-06-02 20:48:33|CASILLA|MOVIL|ACTA PREP
="230097B0100"|230097B010002|23|QUINTANA ROO|1|DISTRITO 1|97|1|B|0|1|2|634|89|3|92|1|5|1|35|3|9|27|2|1|2|0|0|0|0|0|0|0|0|-|-|-|0|6|92|92|706|3||1|F|8d75139055731bb10f81904204e5fa2bc274b85a7d6712b37e1f9fb172243119|2019-06-03 02:41:00|2019-06-03 02:50:41|2019-06-03 02:58:13|CATD|ESCANER|ACTA PREP
="230114B0100"|230114B010002|23|QUINTANA ROO|1|DISTRITO 1|114|1|B|0|1|2|370|53|8|61|2|11|1|23|1|3|14|SIN DATO|1|1|SIN DATO|1|SIN DATO|SIN DATO|0|0|0|0|-|-|-|SIN DATO|3|61|61|411|8|ALGUN DATO ILEGIBLE O SIN DATO|1|F|8cae742c41a37e192ca722f10728817ddfa9f1b24d2eabce7db671523e308ea5|2019-06-02 19:03:32|2019-06-02 20:40:59|2019-06-02 20:47:04|CASILLA|MOVIL|ACTA PREP
="230114C0100"|230114C010002|23|QUINTANA ROO|1|DISTRITO 1|114|1|C|0|1|2|389|38|6|42|3|6|1|10|1|2|14|1|1|1|0|0|0|0|0|0|0|0|-|-|-|0|2|42|42|411|6||1|F|b04de6b78a8c65aaf7df89b500c4524fa08d503703c937ccee6f5ad86e89f03f|2019-06-02 18:46:49|2019-06-02 20:36:10|2019-06-02 20:40:12|CASILLA|MOVIL|ACTA PREP
="230115B0100"|230115B010002|23|QUINTANA ROO|1|DISTRITO 1|115|1|B|0|1|2|462|70|6|SIN DATO|9|14|2|17|4|1|20|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|0|0|0|0|-|-|-|SIN DATO|SIN DATO|SIN DATO|68|518|6|ALGUN DATO ILEGIBLE O SIN DATO|1|F|96cd89c378d0ce5bae502168d5515f8a4a53c69d5fe7b464c3faae128ef31e87|2019-06-03 02:32:00|2019-06-03 02:48:10|2019-06-03 02:56:43|CATD|ESCANER|ACTA PREP
="230115C0100"|230115C010002|23|QUINTANA ROO|1|DISTRITO 1|115|1|C|0|1|2|467|65|4|SIN DATO|3|5|1|18|3|3|25|2|0|1|0|1|0|0|0|0|0|0|-|-|-|0|7|69|69|517|4||1|F|b826437efd690fd8e65165d6b8ea33803c9d6ddb6ac14b82be872a612dc0001f|2019-06-02 19:20:48|2019-06-02 20:31:36|2019-06-02 20:35:58|CASILLA|MOVIL|ACTA PREP
="230116B0100"|230116B010002|23|QUINTANA ROO|1|DISTRITO 1|116|1|B|0|1|2|419|95|7|102|13|9|4|28|4|6|25|3|1|3|0|0|0|0|0|0|0|0|-|-|-|0|6|102|102|498|7||1|F|198580f62f1d34d2e582653793a570c09fd3bf4e6b46a2192bcb0326fa37c150|2019-06-03 02:31:00|2019-06-03 02:47:19|2019-06-03 03:06:15|CATD|ESCANER|ACTA PREP
="230116C0100"|230116C010002|23|QUINTANA ROO|1|DISTRITO 1|116|1|C|0|1|2|402|108|7|115|13|22|0|28|2|4|37|0|0|3|0|1|0|0|0|0|0|0|-|-|-|1|4|115|115|497|7||1|F|f316171ea2a069c933b80fd3d2baa3442846032c948657a29a51ae0afda9f843|2019-06-03 02:11:00|2019-06-03 02:28:37|2019-06-03 02:44:49|CATD|ESCANER|ACTA PREP
="230117B0100"|230117B010002|23|QUINTANA ROO|1|DISTRITO 1|117|1|B|0|1|2|461|148|7|155|23|26|1|38|7|6|20|4|5|8|0|2|0|0|0|0|0|0|-|-|-|0|15|155|155|596|7||1|F|dfbcbfe5c0a592fd3223324e3b3f55888bc2a4125339b2428b299d8023db35a7|2019-06-03 12:33:00|2019-06-03 01:08:14|2019-06-03 01:24:21|CATD|ESCANER|ACTA PREP
